Overriding config with config/train_shakespeare_char.py:

out_dir = 'out-shakespeare-char'
eval_interval = 500
log_interval = 20
eval_iters = 50
always_save_checkpoint = True

wandb_log = False

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 32
block_size = 128

n_layer = 4
n_head = 4
n_embd = 128
dropout = 0.2

learning_rate = 1e-3
max_iters = 3000
lr_decay_iters = 3000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 50

device = 'cuda' if __import__('torch').cuda.is_available() else 'cpu'
compile = False

tokens per iteration will be: 4,096
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 811,136 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: True
step 0: train loss 4.1831, val loss 4.1802
iter 0: loss 4.1867, time 1412.47ms, mfu -100.00%
iter 20: loss 3.3648, time 18.59ms, mfu 0.39%
iter 40: loss 2.8599, time 18.17ms, mfu 0.39%
iter 60: loss 2.6644, time 16.97ms, mfu 0.40%
iter 80: loss 2.5870, time 19.69ms, mfu 0.39%
iter 100: loss 2.5424, time 27.50ms, mfu 0.38%
iter 120: loss 2.5376, time 19.13ms, mfu 0.38%
iter 140: loss 2.5164, time 17.63ms, mfu 0.38%
iter 160: loss 2.4910, time 17.07ms, mfu 0.39%
iter 180: loss 2.5012, time 18.41ms, mfu 0.39%
iter 200: loss 2.4247, time 17.52ms, mfu 0.39%
iter 220: loss 2.4891, time 17.66ms, mfu 0.39%
iter 240: loss 2.4539, time 17.50ms, mfu 0.40%
iter 260: loss 2.4396, time 17.98ms, mfu 0.40%
iter 280: loss 2.4766, time 20.09ms, mfu 0.39%
iter 300: loss 2.4141, time 18.13ms, mfu 0.40%
iter 320: loss 2.4708, time 18.79ms, mfu 0.39%
iter 340: loss 2.3942, time 20.32ms, mfu 0.39%
iter 360: loss 2.4078, time 20.20ms, mfu 0.39%
iter 380: loss 2.3919, time 20.37ms, mfu 0.39%
iter 400: loss 2.3997, time 20.67ms, mfu 0.38%
iter 420: loss 2.3410, time 19.96ms, mfu 0.38%
iter 440: loss 2.3641, time 23.01ms, mfu 0.37%
iter 460: loss 2.3263, time 25.65ms, mfu 0.37%
iter 480: loss 2.3318, time 17.46ms, mfu 0.37%
step 500: train loss 2.2208, val loss 2.2526
saving checkpoint to out-shakespeare-char
iter 500: loss 2.3100, time 1158.86ms, mfu 0.33%
iter 520: loss 2.2742, time 18.22ms, mfu 0.34%
iter 540: loss 2.3120, time 18.00ms, mfu 0.35%
iter 560: loss 2.2727, time 18.84ms, mfu 0.35%
iter 580: loss 2.2390, time 20.35ms, mfu 0.35%
iter 600: loss 2.2759, time 17.13ms, mfu 0.36%
iter 620: loss 2.2504, time 18.88ms, mfu 0.36%
iter 640: loss 2.2550, time 21.29ms, mfu 0.36%
iter 660: loss 2.2146, time 18.13ms, mfu 0.36%
iter 680: loss 2.2294, time 18.28ms, mfu 0.37%
iter 700: loss 2.2124, time 16.66ms, mfu 0.38%
iter 720: loss 2.2559, time 21.90ms, mfu 0.37%
iter 740: loss 2.2040, time 27.65ms, mfu 0.36%
iter 760: loss 2.2116, time 17.41ms, mfu 0.37%
iter 780: loss 2.1970, time 18.53ms, mfu 0.37%
iter 800: loss 2.1777, time 16.98ms, mfu 0.38%
iter 820: loss 2.1799, time 18.25ms, mfu 0.38%
iter 840: loss 2.1422, time 17.20ms, mfu 0.38%
iter 860: loss 2.1750, time 18.11ms, mfu 0.38%
iter 880: loss 2.1605, time 18.39ms, mfu 0.39%
iter 900: loss 2.1732, time 26.45ms, mfu 0.37%
iter 920: loss 2.1539, time 20.25ms, mfu 0.37%
iter 940: loss 2.1489, time 21.99ms, mfu 0.37%
iter 960: loss 2.1521, time 27.55ms, mfu 0.36%
iter 980: loss 2.0991, time 20.43ms, mfu 0.36%
step 1000: train loss 1.9650, val loss 2.0501
saving checkpoint to out-shakespeare-char
iter 1000: loss 2.0845, time 1217.05ms, mfu 0.32%
iter 1020: loss 2.0711, time 18.07ms, mfu 0.33%
iter 1040: loss 2.0977, time 20.43ms, mfu 0.33%
iter 1060: loss 2.0204, time 17.29ms, mfu 0.34%
iter 1080: loss 2.0121, time 17.77ms, mfu 0.35%
iter 1100: loss 2.0541, time 20.21ms, mfu 0.35%
